tick,unique-id,state,infection-start,infector-id,num-infected,masked
6,S,-1,-1,0,false,0
2,S,-1,-1,0,false,0
4,S,-1,-1,0,false,0
8,S,-1,-1,0,false,0
5,S,-1,-1,0,false,0
1,IA,0,-1,0,false,0
0,S,-1,-1,0,false,0
7,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
6,S,-1,-1,0,false,1
2,S,-1,-1,0,false,1
4,S,-1,-1,0,false,1
8,S,-1,-1,0,false,1
5,S,-1,-1,0,false,1
1,IA,0,-1,0,false,1
0,S,-1,-1,0,false,1
7,S,-1,-1,0,false,1
9,S,-1,-1,0,false,1
3,S,-1,-1,0,false,1
6,S,-1,-1,0,false,2
2,S,-1,-1,0,false,2
4,S,-1,-1,0,false,2
8,S,-1,-1,0,false,2
5,S,-1,-1,0,false,2
1,IA,0,-1,0,false,2
0,S,-1,-1,0,false,2
7,S,-1,-1,0,false,2
9,S,-1,-1,0,false,2
3,S,-1,-1,0,false,2
6,S,-1,-1,0,false,3
2,S,-1,-1,0,false,3
4,S,-1,-1,0,false,3
8,S,-1,-1,0,false,3
5,S,-1,-1,0,false,3
1,IA,0,-1,0,false,3
0,S,-1,-1,0,false,3
7,S,-1,-1,0,false,3
9,S,-1,-1,0,false,3
3,S,-1,-1,0,false,3
6,S,-1,-1,0,false,4
2,S,-1,-1,0,false,4
4,S,-1,-1,0,false,4
8,S,-1,-1,0,false,4
5,S,-1,-1,0,false,4
1,IA,0,-1,0,false,4
0,S,-1,-1,0,false,4
7,S,-1,-1,0,false,4
9,S,-1,-1,0,false,4
3,S,-1,-1,0,false,4
6,S,-1,-1,0,false,5
2,S,-1,-1,0,false,5
4,S,-1,-1,0,false,5
8,S,-1,-1,0,true,5
5,S,-1,-1,0,false,5
1,IA,0,-1,0,false,5
0,S,-1,-1,0,false,5
7,S,-1,-1,0,true,5
9,S,-1,-1,0,false,5
3,S,-1,-1,0,false,5
6,S,-1,-1,0,false,6
2,IA,6,8,2,false,6
4,IA,6,2,0,false,6
8,IS,6,1,2,false,6
5,S,-1,-1,0,false,6
1,IA,0,-1,2,false,6
0,S,-1,-1,0,false,6
7,S,-1,-1,0,false,6
9,S,-1,-1,0,false,6
3,S,-1,-1,0,false,6
6,S,-1,-1,0,false,7
2,IA,6,8,2,false,7
4,R,6,2,0,false,7
8,IS,6,1,4,false,7
5,S,-1,-1,0,false,7
1,R,0,-1,2,false,7
0,S,-1,-1,0,false,7
7,S,-1,-1,0,false,7
9,S,-1,-1,0,false,7
3,IA,7,8,0,false,7
6,S,-1,-1,0,false,8
2,IA,6,8,4,false,8
4,R,6,2,0,false,8
8,IS,6,1,4,false,8
5,S,-1,-1,0,false,8
1,R,0,-1,2,false,8
0,IA,8,2,0,true,8
7,S,-1,-1,0,false,8
9,S,-1,-1,0,false,8
3,IA,7,8,0,false,8
6,S,-1,-1,0,false,9
2,IA,6,8,6,false,9
4,R,6,2,0,false,9
8,IS,6,1,4,false,9
5,IA,9,0,0,false,9
1,R,0,-1,2,false,9
0,IA,8,2,2,false,9
7,S,-1,-1,0,false,9
9,IA,9,2,0,false,9
3,IA,7,8,0,false,9
6,S,-1,-1,0,false,10
2,IA,6,8,6,false,10
4,R,6,2,0,false,10
8,IS,6,1,4,false,10
5,R,9,0,0,false,10
1,R,0,-1,2,false,10
0,IA,8,2,2,false,10
7,S,-1,-1,0,false,10
9,IA,9,2,0,false,10
3,IA,7,8,0,false,10
6,S,-1,-1,0,false,11
2,IA,6,8,6,false,11
4,R,6,2,0,false,11
8,IS,6,1,6,false,11
5,R,9,0,0,false,11
1,R,0,-1,2,false,11
0,IA,8,2,2,false,11
7,IS,11,8,0,false,11
9,IA,9,2,0,false,11
3,IA,7,8,0,false,11
6,S,-1,-1,0,false,12
2,IA,6,8,6,false,12
4,R,6,2,0,false,12
8,IS,6,1,6,false,12
5,R,9,0,0,false,12
1,R,0,-1,2,false,12
0,IA,8,2,2,false,12
7,IS,11,8,0,false,12
9,IA,9,2,0,false,12
3,IA,7,8,0,false,12
6,S,-1,-1,0,false,13
2,IA,6,8,6,false,13
4,R,6,2,0,false,13
8,IS,6,1,6,false,13
5,R,9,0,0,false,13
1,R,0,-1,2,false,13
0,IA,8,2,2,false,13
7,IS,11,8,0,false,13
9,IA,9,2,0,false,13
3,IA,7,8,0,false,13
6,S,-1,-1,0,false,14
2,IA,6,8,6,false,14
4,R,6,2,0,false,14
8,IS,6,1,6,false,14
5,R,9,0,0,false,14
1,R,0,-1,2,false,14
0,IA,8,2,2,false,14
7,IS,11,8,0,false,14
9,IA,9,2,0,false,14
3,IA,7,8,0,true,14
6,IS,15,9,0,false,15
2,IA,6,8,6,false,15
4,R,6,2,0,false,15
8,IS,6,1,6,false,15
5,R,9,0,0,false,15
1,R,0,-1,2,false,15
0,IA,8,2,2,false,15
7,IS,11,8,0,false,15
9,IA,9,2,2,false,15
3,IA,7,8,0,false,15
6,IS,15,9,0,false,16
2,IA,6,8,6,false,16
4,R,6,2,0,false,16
8,IS,6,1,6,false,16
5,R,9,0,0,false,16
1,R,0,-1,2,false,16
0,IA,8,2,2,false,16
7,IS,11,8,0,false,16
9,IA,9,2,2,false,16
3,IA,7,8,0,false,16
6,IS,15,9,0,false,17
2,IA,6,8,6,false,17
4,R,6,2,0,false,17
8,IS,6,1,6,false,17
5,R,9,0,0,false,17
1,R,0,-1,2,false,17
0,IA,8,2,2,false,17
7,IS,11,8,0,false,17
9,IA,9,2,2,false,17
3,R,7,8,0,false,17
6,IS,15,9,0,false,18
2,IA,6,8,6,false,18
4,R,6,2,0,false,18
8,IS,6,1,6,false,18
5,R,9,0,0,false,18
1,R,0,-1,2,false,18
0,IA,8,2,2,false,18
7,R,11,8,0,false,18
9,IA,9,2,2,false,18
3,R,7,8,0,false,18
6,IS,15,9,0,false,19
2,IA,6,8,6,false,19
4,R,6,2,0,false,19
8,IS,6,1,6,false,19
5,R,9,0,0,false,19
1,R,0,-1,2,false,19
0,IA,8,2,2,false,19
7,R,11,8,0,false,19
9,IA,9,2,2,false,19
3,R,7,8,0,false,19
6,IS,15,9,0,false,20
2,IA,6,8,6,false,20
4,R,6,2,0,false,20
8,IS,6,1,6,false,20
5,R,9,0,0,false,20
1,R,0,-1,2,false,20
0,IA,8,2,2,false,20
7,R,11,8,0,false,20
9,IA,9,2,2,false,20
3,R,7,8,0,false,20
6,IS,15,9,0,false,21
2,IA,6,8,6,false,21
4,R,6,2,0,false,21
8,IS,6,1,6,false,21
5,R,9,0,0,false,21
1,R,0,-1,2,false,21
0,IA,8,2,2,false,21
7,R,11,8,0,false,21
9,IA,9,2,2,false,21
3,R,7,8,0,false,21
6,IS,15,9,0,false,22
2,IA,6,8,6,false,22
4,R,6,2,0,false,22
8,IS,6,1,6,false,22
5,R,9,0,0,false,22
1,R,0,-1,2,false,22
0,IA,8,2,2,false,22
7,R,11,8,0,false,22
9,IA,9,2,2,false,22
3,R,7,8,0,false,22
6,IS,15,9,0,false,23
2,IA,6,8,6,true,23
4,R,6,2,0,false,23
8,IS,6,1,6,false,23
5,R,9,0,0,false,23
1,R,0,-1,2,false,23
0,IA,8,2,2,false,23
7,R,11,8,0,false,23
9,IA,9,2,2,false,23
3,R,7,8,0,false,23
6,IS,15,9,0,false,24
2,R,6,8,6,false,24
4,R,6,2,0,false,24
8,R,6,1,6,false,24
5,R,9,0,0,false,24
1,R,0,-1,2,false,24
0,IA,8,2,2,false,24
7,R,11,8,0,false,24
9,R,9,2,2,false,24
3,R,7,8,0,false,24
6,IS,15,9,0,false,25
2,R,6,8,6,false,25
4,R,6,2,0,false,25
8,R,6,1,6,false,25
5,R,9,0,0,false,25
1,R,0,-1,2,false,25
0,IA,8,2,2,false,25
7,R,11,8,0,false,25
9,R,9,2,2,false,25
3,R,7,8,0,false,25
6,IS,15,9,0,false,26
2,R,6,8,6,false,26
4,R,6,2,0,false,26
8,R,6,1,6,false,26
5,R,9,0,0,false,26
1,R,0,-1,2,false,26
0,IA,8,2,2,false,26
7,R,11,8,0,false,26
9,R,9,2,2,false,26
3,R,7,8,0,false,26
6,IS,15,9,0,false,27
2,R,6,8,6,false,27
4,R,6,2,0,false,27
8,R,6,1,6,false,27
5,R,9,0,0,false,27
1,R,0,-1,2,false,27
0,IA,8,2,2,false,27
7,R,11,8,0,false,27
9,R,9,2,2,false,27
3,R,7,8,0,false,27
6,R,15,9,0,false,28
2,R,6,8,6,false,28
4,R,6,2,0,false,28
8,R,6,1,6,false,28
5,R,9,0,0,false,28
1,R,0,-1,2,false,28
0,IA,8,2,2,false,28
7,R,11,8,0,false,28
9,R,9,2,2,false,28
3,R,7,8,0,false,28
6,R,15,9,0,false,29
2,R,6,8,6,false,29
4,R,6,2,0,false,29
8,R,6,1,6,false,29
5,R,9,0,0,false,29
1,R,0,-1,2,false,29
0,IA,8,2,2,false,29
7,R,11,8,0,false,29
9,R,9,2,2,false,29
3,R,7,8,0,false,29
6,R,15,9,0,false,30
2,R,6,8,6,false,30
4,R,6,2,0,false,30
8,R,6,1,6,false,30
5,R,9,0,0,false,30
1,R,0,-1,2,false,30
0,IA,8,2,2,false,30
7,R,11,8,0,false,30
9,R,9,2,2,false,30
3,R,7,8,0,false,30
6,R,15,9,0,false,31
2,R,6,8,6,false,31
4,R,6,2,0,false,31
8,R,6,1,6,false,31
5,R,9,0,0,false,31
1,R,0,-1,2,false,31
0,IA,8,2,2,false,31
7,R,11,8,0,false,31
9,R,9,2,2,false,31
3,R,7,8,0,false,31
6,R,15,9,0,false,32
2,R,6,8,6,false,32
4,R,6,2,0,false,32
8,R,6,1,6,false,32
5,R,9,0,0,false,32
1,R,0,-1,2,false,32
0,IA,8,2,2,false,32
7,R,11,8,0,false,32
9,R,9,2,2,false,32
3,R,7,8,0,false,32
6,R,15,9,0,false,33
2,R,6,8,6,false,33
4,R,6,2,0,false,33
8,R,6,1,6,false,33
5,R,9,0,0,false,33
1,R,0,-1,2,false,33
0,IA,8,2,2,false,33
7,R,11,8,0,false,33
9,R,9,2,2,false,33
3,R,7,8,0,false,33
6,R,15,9,0,false,34
2,R,6,8,6,false,34
4,R,6,2,0,false,34
8,R,6,1,6,false,34
5,R,9,0,0,false,34
1,R,0,-1,2,false,34
0,R,8,2,2,false,34
7,R,11,8,0,false,34
9,R,9,2,2,false,34
3,R,7,8,0,false,34
END
